Full-Text Downloads for 2013-11-01 through 2014-01-31 for Berkeley Law Scholarship Repository					
Title	URL	First published	11/1/2013	12/1/2013	1/1/2014
Property Rights in the U.S. Supreme Court: A Status Report	http://scholarship.law.berkeley.edu/facpubs/1564	9/20/2012	0	1	1
United States Tort Reform Wars	http://scholarship.law.berkeley.edu/facpubs/582	9/18/2012	0	0	0
The Politics of Statistics	http://scholarship.law.berkeley.edu/bglj/vol9/iss1/9	9/24/2013	0	0	0
Foreword	http://scholarship.law.berkeley.edu/bglj/vol17/iss1/7	9/24/2013	0	0	0
Many Roads to Justice for Women: A Foreword to the Symposium Issue of the Berkeley Journal of International Law	http://scholarship.law.berkeley.edu/facpubs/1965	8/15/2013	0	0	0
Legal Research and Legal Concepts: Where Form Molds Substance	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss1/2	7/10/2012	0	1	0
Congressional Power to Expand Judicial Definitions of the Substantive Terms of the Civil War Amendments	http://scholarship.law.berkeley.edu/facpubs/1345	9/18/2012	0	0	0
Mapping the Ballot Box Recap	http://scholarship.law.berkeley.edu/bjalp_gallery/39	12/3/2013	0	0	0
Postscript Spring 1998: A Response to Professors Bernstein and Franke	http://scholarship.law.berkeley.edu/facpubs/1931	8/15/2013	0	0	0
Constitutional Law	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss2/5	7/17/2012	0	0	0
"2007 California Criminal Legislation: Meaningful Change, or Preserving the Status Quo"	http://scholarship.law.berkeley.edu/bjcl/vol13/iss1/5	2/15/2013	0	1	0
"Foundation Fact Approach to Hearsay, A"	http://scholarship.law.berkeley.edu/facpubs/1473	9/20/2012	0	4	0
War and Political Theory	http://scholarship.law.berkeley.edu/californialawreview/vol6/iss6/2	7/24/2012	0	2	0
Text Anxiety	http://scholarship.law.berkeley.edu/facpubs/2023	8/15/2013	0	0	0
To Settle or Empanel - An Empirical Analysis of Litigation and Settlement at the World Trade Organization	http://scholarship.law.berkeley.edu/facpubs/748	9/18/2012	0	1	0
"Antitrust, Microeconomics, and Politics: Reflections on Some Recent Relationships"	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss1/1	7/17/2012	0	2	0
Reception	http://scholarship.law.berkeley.edu/bjalp_symposia/2013/2013/12	12/7/2013	0	0	0
Integrating the Corporate Income Tax	http://scholarship.law.berkeley.edu/facpubs/735	9/18/2012	0	1	0
A View from the Tower	http://scholarship.law.berkeley.edu/facpubs/2168	8/15/2013	0	0	0
Mapping the Ballot Box Symposium Recap	http://scholarship.law.berkeley.edu/bjalp_gallery/41	12/3/2013	0	1	0
Mapping the Ballot Box Recap	http://scholarship.law.berkeley.edu/bjalp_gallery/24	12/3/2013	0	0	0
When is it Vacant	http://scholarship.law.berkeley.edu/californialawreview/vol26/iss1/2	7/24/2012	0	0	0
Matter and Method in Military Law Course	http://scholarship.law.berkeley.edu/californialawreview/vol7/iss2/3	7/24/2012	0	0	0
The Tensions between Integration and School Reform	http://scholarship.law.berkeley.edu/facpubs/648	9/18/2012	0	2	0
Discovering the Role of the Firm: The Separation Criterion and Corporate Law	http://scholarship.law.berkeley.edu/bblj/vol6/iss2/4	11/22/2013	0	1	5
A Problem for Pericles	http://scholarship.law.berkeley.edu/californialawreview/vol59/iss3/9	7/17/2012	0	1	0
In Tribute	http://scholarship.law.berkeley.edu/facpubs/451	9/18/2012	0	0	0
The National Statutes System: A Plea for a New Publication	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss1/2	7/24/2012	0	0	0
Market Definition in the Merger Guidelines: Implications for Antitrust Enforcement	http://scholarship.law.berkeley.edu/facpubs/1410	9/20/2012	0	0	0
The Power of Procedure: The Critical Role of Minority Intervention in the Wake of Ricci v. DeStefano	http://scholarship.law.berkeley.edu/californialawreview/vol99/iss4/4	7/9/2012	0	0	0
The Organization of Public Interest Practice: 1975-2004	http://scholarship.law.berkeley.edu/facpubs/1618	9/20/2012	0	3	1
"Proposals for Public Land Reform: Sorting out the Good, the Bad and the Indifferent"	http://scholarship.law.berkeley.edu/facpubs/172	9/17/2012	0	0	0
The Case for International Antitrust	http://scholarship.law.berkeley.edu/facpubs/484	9/18/2012	0	2	0
Injury to the Deceased or Disabled Employee under the California Workmen's Compensation Laws	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss3/8	7/19/2012	0	5	0
"PRISONS, CRIMINAL JUSTICE AND INSTITUTIONAL REFORM PANEL"	http://scholarship.law.berkeley.edu/bjalp_symposia/2010/2010/1	12/7/2013	0	0	0
Post-War Iraq: Prosecuting Saddam Hussein	http://scholarship.law.berkeley.edu/bjcl/vol7/iss1/1	2/21/2013	0	0	0
California Supreme Court	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss2/3	7/17/2012	0	0	0
The Syracuse Conference on a World Rule of Law: American Perspectives - An Introduction	http://scholarship.law.berkeley.edu/facpubs/809	9/18/2012	0	1	0
Punishing the Innocent: How the Classification of Male-to-Female Transgender Individuals in Immigration Detention Constitutes Illegal Punishment under the Fifth Amendment	http://scholarship.law.berkeley.edu/bglj/vol25/iss1/1	9/24/2013	0	1	0
Torts	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss2/12	7/17/2012	0	0	0
"Civilizing Public Discourse: An Essay on Professor Bickel, Justice Harlan, and the Enduring Significance of Cohen v. California"	http://scholarship.law.berkeley.edu/facpubs/322	9/17/2012	0	0	0
Editor's Note	http://scholarship.law.berkeley.edu/bjalp/vol9/iss1/1	4/26/2013	0	0	0
The Supreme Court of California 1968-1969: Table of Cases	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss1/6	7/17/2012	0	0	0
Fairness in the Distribution of Education	http://scholarship.law.berkeley.edu/facpubs/316	9/17/2012	0	0	0
Federalism and Company Law	http://scholarship.law.berkeley.edu/facpubs/1594	9/20/2012	0	3	0
Crisis and Opportunity in California's Prison System	http://scholarship.law.berkeley.edu/bjcl/vol13/iss2/6	2/19/2013	0	1	0
Criminal Law Administration: The Zero Hour Was Coming	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/9	7/18/2012	0	0	0
Panel Four - In Search of a Gendered Approach to Immigration Law	http://scholarship.law.berkeley.edu/bglj/vol22/iss1/12	9/24/2013	0	1	0
Review of Decisions of Administrative Tribunals--Industrial Accident Commission	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss3/3	7/24/2012	0	0	0
Family Law for the Next Cenutry: Background and Overview of the Conference	http://scholarship.law.berkeley.edu/facpubs/616	9/18/2012	0	0	0
Where Are We in this Business of Social Security	http://scholarship.law.berkeley.edu/californialawreview/vol46/iss3/1	7/19/2012	0	0	0
Achieving Diversity in Media Ownership: Bakke and the FCC	http://scholarship.law.berkeley.edu/californialawreview/vol67/iss1/10	7/17/2012	0	0	0
A Case of Danger	http://scholarship.law.berkeley.edu/bglj/vol14/iss1/1	9/24/2013	0	1	0
In Remembrance of Justice Wiley W. Manuel	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss4/2	7/17/2012	0	0	0
"Appreciation of Justice William J. Brennan, Jr., An"	http://scholarship.law.berkeley.edu/facpubs/211	9/17/2012	0	0	0
Europeanizing the State Constitution the Water and Power Amendment	http://scholarship.law.berkeley.edu/californialawreview/vol12/iss6/2	7/24/2012	0	0	0
"Garret W. McEnerney, 1865-1942"	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss1/8	7/20/2012	0	0	0
"The Evolution of Holmes, Holmes and Evolution"	http://scholarship.law.berkeley.edu/californialawreview/vol72/iss3/2	7/10/2012	0	0	0
Escaping the Circle by Confronting Classroom Stereotyping: A Step toward Equality in the Daily Educational Experience of Children of Color	http://scholarship.law.berkeley.edu/aalj/vol11/iss2/2	9/10/2013	0	3	0
Justice's Merger Guidelines: The General Theory	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss2/2	7/10/2012	0	0	0
The Briseno Dilemma	http://scholarship.law.berkeley.edu/facpubs/105	9/17/2012	0	0	0
Cover-Blindness	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss1/4	7/10/2012	0	0	0
Effective Alternatives to Causes of Action Barred by the Eleventh Amendment	http://scholarship.law.berkeley.edu/facpubs/1134	9/18/2012	0	0	0
Dedication	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/1	7/18/2012	0	0	0
Mapping the Ballot Box Recap	http://scholarship.law.berkeley.edu/bjalp_gallery/32	12/3/2013	0	0	0
The Procedural Attack on Civil Rights: The Empirical Reality of Buckhannon for the Private Attorney General	http://scholarship.law.berkeley.edu/facpubs/1941	8/15/2013	0	1	0
"Commencement Address - Boalt Hall, May 1986"	http://scholarship.law.berkeley.edu/facpubs/685	9/18/2012	0	0	0
Jusitce Field's Opinions on Constitutional Law	http://scholarship.law.berkeley.edu/californialawreview/vol5/iss2/2	7/24/2012	0	1	0
Settling Civil Cases: What Lawyers Want from Judges	http://scholarship.law.berkeley.edu/facpubs/1973	8/15/2013	0	1	0
Value of the Use in Non-Renting Localities	http://scholarship.law.berkeley.edu/californialawreview/vol13/iss5/1	7/24/2012	0	0	0
When Economists Are Kings	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss2/1	7/10/2012	0	0	0
Buying Scenery: Land Acquisitions for the National Park Service	http://scholarship.law.berkeley.edu/facpubs/323	9/17/2012	0	0	0
IX. Property	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss2/12	7/17/2012	0	2	0
Legislative Bill Drafting	http://scholarship.law.berkeley.edu/californialawreview/vol14/iss5/2	7/24/2012	0	1	0
Quantum Leap: A Black Woman Uses Legal Education to Obtain Her Honorary White Pass	http://scholarship.law.berkeley.edu/bglj/vol6/iss1/11	9/24/2013	0	3	0
Where Do the New Scholars Learn New Scholarship	http://scholarship.law.berkeley.edu/facpubs/800	9/18/2012	0	0	0
Futility of the Law in Cuba	http://scholarship.law.berkeley.edu/californialawreview/vol13/iss3/1	7/24/2012	0	2	0
The Supreme Court of California 1970-1971: Property	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss3/16	7/17/2012	0	0	0
"Yale Kamisar: Collaborator, Colleague, and Friend"	http://scholarship.law.berkeley.edu/facpubs/13	9/17/2012	0	0	0
The Implications of Crosby for Federal Exclusivity in Foreign Affairs	http://scholarship.law.berkeley.edu/bjil/vol21/iss1/7	9/24/2012	0	1	0
Exclusion or Efficient Pricing - The Big Deal Bundling of Academic Journals	http://scholarship.law.berkeley.edu/facpubs/2111	8/15/2013	0	1	0
Legal Change and Class Interests: A Review Essay on Morton Horwitz's the Transformation of American Law	http://scholarship.law.berkeley.edu/facpubs/1354	9/18/2012	0	0	0
Ghouls and Godsends - A Critique of Reverse Merger Policy	http://scholarship.law.berkeley.edu/bblj/vol3/iss2/4	11/22/2013	0	5	2
Total Liability for Excessive Harm	http://scholarship.law.berkeley.edu/facpubs/1997	8/15/2013	0	1	0
"Baby M, Lawyers, and Legal Education"	http://scholarship.law.berkeley.edu/facpubs/868	9/18/2012	0	0	0
The Supreme Court of California 1968-1969: Administrative Law--I	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss1/7	7/17/2012	0	0	0
The Establishment Clause and Aid to Parochial Schools-An Update	http://scholarship.law.berkeley.edu/facpubs/1484	9/20/2012	0	0	0
International Tribunals: A Rational Choice Analysis	http://scholarship.law.berkeley.edu/facpubs/194	9/17/2012	0	1	2
Windfall and Probability: A Study of Cause in Negligence Law--Part II--Factual Uncertainty and Competitive Fairness	http://scholarship.law.berkeley.edu/facpubs/1154	9/18/2012	0	0	0
Collaboration: The True Spirit of Brown v. Board of Education	http://scholarship.law.berkeley.edu/bjalp/vol6/iss2/1	4/26/2013	0	0	0
"View from the Tower, A"	http://scholarship.law.berkeley.edu/facpubs/288	9/17/2012	0	0	0
"George Purcell Costigan, Jr. (1870-1934)"	http://scholarship.law.berkeley.edu/californialawreview/vol23/iss2/3	7/24/2012	0	0	0
Supreme Court Selection and Measures of Past Judicial Performance	http://scholarship.law.berkeley.edu/facpubs/773	9/18/2012	0	4	0
Justice Department's Policy of Opposing Nolo Contendere Pleas: A Justification	http://scholarship.law.berkeley.edu/bjcl/vol6/iss1/2	2/21/2013	0	0	0
William B. Lockhart and Bernard E. Witkin	http://scholarship.law.berkeley.edu/facpubs/1058	9/18/2012	0	0	0
Bibliography	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss1/9	7/17/2012	0	2	2
The Supreme Court of California 1970-1971	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss3/4	7/17/2012	0	1	0
Comment: Government Secrecy and the Constitution	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss3/11	7/10/2012	0	0	0
Women and Antiwar Protest: Rearticulating Gender and Citizenship	http://scholarship.law.berkeley.edu/facpubs/1645	9/20/2012	0	0	0
The Outmoded Debate over Affirmative Action	http://scholarship.law.berkeley.edu/facpubs/1588	9/20/2012	0	0	0
Partial-Industry Regulation: A Monopsony Standard for Consumer Protection	http://scholarship.law.berkeley.edu/californialawreview/vol80/iss1/2	7/10/2012	0	0	0
Should Performance Dedicate	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss1/5	7/19/2012	0	3	0
Persuasion and Authority in Islamic Law	http://scholarship.law.berkeley.edu/jmeil/vol3/iss1/3	12/9/2013	0	34	2
Keynote Address	http://scholarship.law.berkeley.edu/facpubs/1117	9/18/2012	0	0	0
Reunifying Property	http://scholarship.law.berkeley.edu/facpubs/1046	9/18/2012	0	0	0
Foreword	http://scholarship.law.berkeley.edu/facpubs/78	9/17/2012	0	0	0
North Coast Women's Care: California's Still-Undefined Standard for Protecting Religious Freedom	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss6/9	7/9/2012	0	2	1
Beyond Equal Opportunity: A New Vision for Women Workers	http://scholarship.law.berkeley.edu/facpubs/2099	8/15/2013	0	0	0
Recent Changes in the Bank and Corporation Franchise Tax Act	http://scholarship.law.berkeley.edu/californialawreview/vol22/iss5/2	7/24/2012	0	4	0
Separation of Church and State: New Directions by the New Supreme Court	http://scholarship.law.berkeley.edu/facpubs/826	9/18/2012	0	0	0
Proposed Expert Evidence Bill	http://scholarship.law.berkeley.edu/californialawreview/vol3/iss3/3	7/24/2012	0	0	0
Using International Law to Defend the Accused	http://scholarship.law.berkeley.edu/bjcl/vol1/iss1/1	2/21/2013	0	0	0
Using Severability Clauses to Solve the Attainment Deadline Dilemma in Environmental Statutes	http://scholarship.law.berkeley.edu/californialawreview/vol80/iss5/3	7/10/2012	0	1	0
Mapping the Ballot Box Recap	http://scholarship.law.berkeley.edu/bjalp_gallery/4	12/3/2013	0	0	0
Keynote Address	http://scholarship.law.berkeley.edu/riesenfeld/2013/2013/4	2/10/2013	0	0	0
Substantive Legal Theory and Its Audience	http://scholarship.law.berkeley.edu/facpubs/55	9/17/2012	0	0	0
In the Matter of Green v. Recht	http://scholarship.law.berkeley.edu/facpubs/1480	9/20/2012	0	2	0
(Mis)Interpreting SLUSA: Closing the Jurisdictional Loophole in Federal Securities Class Actions	http://scholarship.law.berkeley.edu/bblj/vol7/iss1/5	11/22/2013	0	7	0
The Generativity of Sony v. Universal: The Intellectual Property Legacy of Justice Stevens	http://scholarship.law.berkeley.edu/facpubs/1463	9/20/2012	0	1	1
"View from the Tower, A"	http://scholarship.law.berkeley.edu/facpubs/366	9/17/2012	0	0	0
Do Communities Have Rights - The National Parks as a Laboratory of New Ideas	http://scholarship.law.berkeley.edu/facpubs/1022	9/18/2012	0	1	0
The Doctor's Federal Taxes	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss3/1	7/20/2012	0	0	0
The Prospect for Administrative Tribunals	http://scholarship.law.berkeley.edu/californialawreview/vol20/iss2/3	7/24/2012	0	3	0
Politics and the Limits of Law: A Musing for Dean Sullivan	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss3/6	7/10/2012	0	0	0
Max Radin	http://scholarship.law.berkeley.edu/californialawreview/vol36/iss2/1	7/20/2012	0	1	0
Vulnerability and Efficiency (of What?)	http://scholarship.law.berkeley.edu/bblj/vol2/iss1/14	11/22/2013	0	0	0
When the Guests Move in: Permanent Observers to the United Nations Gain the Right to Establish Permanent Missions in the United States	http://scholarship.law.berkeley.edu/californialawreview/vol78/iss1/4	7/10/2012	0	5	0
Between State and Local: A Response to Professor Reynolds	http://scholarship.law.berkeley.edu/facpubs/1632	9/20/2012	0	1	0
Collaboration: The True Spirit of Brown v. Board of Education	http://scholarship.law.berkeley.edu/facpubs/361	9/17/2012	0	0	0
Vote.com and Internet Politics: A Comment on Dick Morris's Version of Internet Democracy	http://scholarship.law.berkeley.edu/facpubs/829	9/18/2012	0	0	0
Some Observations on the California Development Company Litigation	http://scholarship.law.berkeley.edu/californialawreview/vol4/iss3/3	7/24/2012	0	1	0
Carcieri's Self-Described Progressive Critique of the ACLU on Proposition 209: A Conservative Response	http://scholarship.law.berkeley.edu/facpubs/917	9/18/2012	0	2	0
Gaining Public Interest in the Criminal Legal Process	http://scholarship.law.berkeley.edu/facpubs/1810	12/7/2012	0	0	0
Panel Discussions Session II: Mapping Communities of Color: The Implications of 2010 Census Redistricting Plans on the 2012 General Election	http://scholarship.law.berkeley.edu/bjalp_symposia/2013/2013/5	12/6/2013	0	0	0
Settling Civil Cases: Where Attorneys Disagree about Judicial Roles	http://scholarship.law.berkeley.edu/facpubs/523	9/18/2012	0	0	0
Lawyers in Congress	http://scholarship.law.berkeley.edu/facpubs/1288	9/18/2012	0	1	0
The Legal Subject in Exile	http://scholarship.law.berkeley.edu/facpubs/1145	9/18/2012	0	1	0
Masters and Servants: The American Colonial Model of Child Custody and Control	http://scholarship.law.berkeley.edu/facpubs/2104	8/15/2013	0	1	0
The Implantation of Rights: An Argument for Unconditionally FUnded Norplant Removal	http://scholarship.law.berkeley.edu/bglj/vol11/iss1/2	9/24/2013	0	3	0
Feminizing Capital: A Corporate Imperative	http://scholarship.law.berkeley.edu/bblj/vol6/iss1/2	11/22/2013	0	10	1
The Case for Specially Compensating the Victims of Terrorist Acts: An Assessment	http://scholarship.law.berkeley.edu/facpubs/839	9/18/2012	0	0	0
"Family Court: The California Proposal, A"	http://scholarship.law.berkeley.edu/facpubs/1206	9/18/2012	0	1	0
Panel One - Empowering Survivors with Legal-Status Challenges	http://scholarship.law.berkeley.edu/bglj/vol22/iss1/9	9/24/2013	0	1	0
Does Risk to Oneself Increase the Care Owed to Others - Law and Economics in Conflict	http://scholarship.law.berkeley.edu/facpubs/672	9/18/2012	0	2	0
Foreword	http://scholarship.law.berkeley.edu/facpubs/612	9/18/2012	0	0	0
Collaboration: The True Spirit of Brown v. Board of Education	http://scholarship.law.berkeley.edu/aalj/vol11/iss2/1	9/10/2013	0	0	1
International Convention on the Elimination of All Forms of Racial Discrimination	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss6/5	7/17/2012	0	0	0
Editor's Note	http://scholarship.law.berkeley.edu/bjalp/vol10/iss2/1	4/26/2013	0	1	0
Interpreting the Women's Movement	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss5/2	7/9/2012	0	2	0
Dollars and Sense: A New Paradigm for Campaign Finance Reform	http://scholarship.law.berkeley.edu/facpubs/881	9/18/2012	0	1	1
The Statutory Derivative Action in China: Critical Analysis and Recommendations for Reform	http://scholarship.law.berkeley.edu/bblj/vol4/iss2/2	11/22/2013	0	2	1
In Memoriam	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss4/1	7/17/2012	0	0	0
Disclosure in Contract Law	http://scholarship.law.berkeley.edu/facpubs/2028	8/15/2013	0	0	0
VI. Criminal Procedure	http://scholarship.law.berkeley.edu/californialawreview/vol64/iss2/8	7/17/2012	0	0	0
State and Local Government	http://scholarship.law.berkeley.edu/californialawreview/vol65/iss2/12	7/17/2012	0	0	0
Disability Human Rights	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss1/2	7/9/2012	0	4	0
Strategic Alliances for Innovation in the Global Market of the 1990s: A Comparative Study of the Relationship between Innovation and the Patent/Antitrust Mechanisms of the United States and the European Economic Community	http://scholarship.law.berkeley.edu/bjil/vol9/iss2/2	9/24/2012	0	0	0
Is God Unconstitutional	http://scholarship.law.berkeley.edu/facpubs/1337	9/18/2012	0	2	0
Justice Wiley W. Manuel	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss4/1	7/17/2012	0	0	0
Blunt Instrument: The Inevitable Inaccuracy of an All-or-Nothing On-Sale Bar	http://scholarship.law.berkeley.edu/californialawreview/vol92/iss5/5	7/9/2012	0	1	0
Use by the United States Supreme Court of Extrinsic Aids in Constitutional Construction	http://scholarship.law.berkeley.edu/californialawreview/vol26/iss4/2	7/24/2012	0	0	0
Drug Treatment as a Criminal Sanction	http://scholarship.law.berkeley.edu/facpubs/1316	9/18/2012	0	3	0
"Freedoms of Collective Speech: A Theory of Protected Communications by Organizations, Communities, and the State"	http://scholarship.law.berkeley.edu/facpubs/1798	12/7/2012	0	0	0
"Innovation, Dynamic Competition, and Antitrust Policy"	http://scholarship.law.berkeley.edu/facpubs/147	9/17/2012	0	0	0
City of Long Beach v. Bozek: An Absolute Right to Sue the Government	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss4/14	7/10/2012	0	0	0
The Supreme Court of California 1966-1967: Attorneys	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss4/9	7/17/2012	0	2	0
Introductory Note	http://scholarship.law.berkeley.edu/facpubs/1039	9/18/2012	0	0	0
Adnan Awad: The Forgotten Informant	http://scholarship.law.berkeley.edu/bjcl/vol7/iss1/2	2/21/2013	0	0	0
Preface: Legal Reforms and Legal Culture in Japan	http://scholarship.law.berkeley.edu/facpubs/2148	8/15/2013	0	0	0
Should California Adopt Federal Civil Procedure	http://scholarship.law.berkeley.edu/californialawreview/vol40/iss2/2	7/20/2012	0	0	0
Index to the Merger Guidelines Symposium	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss2/17	7/10/2012	0	0	0
Compromise as Precise Justice	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss2/4	7/17/2012	0	0	0
Some Old Problems in a Modern Guise	http://scholarship.law.berkeley.edu/californialawreview/vol4/iss2/2	7/24/2012	0	3	0
Zoning Adult Enertainment: A Reassessment of Renton	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss1/3	7/10/2012	0	4	0
The Costs and Elusive Gains of Creating Complementarities Between Party and Popular Democracy: A Response to Ethan J. Leib & Christopher S. Elmendorf	http://scholarship.law.berkeley.edu/clrcircuit/1	8/27/2013	0	2	0
Foreword	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss3/1	7/17/2012	0	0	0
Francis A. Allen--An Appreciation	http://scholarship.law.berkeley.edu/facpubs/1626	9/20/2012	0	0	0
Execution of Wills in California	http://scholarship.law.berkeley.edu/californialawreview/vol5/iss5/2	7/24/2012	0	0	0
Lawyers and Community Economic Development	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss5/1	7/9/2012	0	0	0
Soul Food Luncheon & Informal Brainstorming Session	http://scholarship.law.berkeley.edu/bjalp_symposia/20062/2006/5	12/7/2013	0	0	0
"Stefan A. Riesenfeld, International Law and the University of California"	http://scholarship.law.berkeley.edu/facpubs/218	9/17/2012	0	0	0
Public Choice and International Regulatory Competition	http://scholarship.law.berkeley.edu/facpubs/1692	9/20/2012	0	1	0
Intellectual Property and Contract Law for the Information Age: Foreword to a Symposium	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss1/1	7/10/2012	0	0	0
Martin's March	http://scholarship.law.berkeley.edu/facpubs/1565	9/20/2012	0	1	0
Subordination of Purchase-Money Security	http://scholarship.law.berkeley.edu/facpubs/2044	8/15/2013	0	0	0
Transcription of Keynote Speakers' Address	http://scholarship.law.berkeley.edu/facpubs/140	9/17/2012	0	1	0
Stefan Riesenfeld as Historian	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss6/4	7/17/2012	0	0	0
Price Stabilization during a Period of Cold War	http://scholarship.law.berkeley.edu/californialawreview/vol41/iss1/4	7/19/2012	0	2	1
What Are the Limitations on Freedom of the Press	http://scholarship.law.berkeley.edu/facpubs/393	9/17/2012	0	0	0
Eighteenth Century Recall of Judges	http://scholarship.law.berkeley.edu/californialawreview/vol3/iss5/3	7/24/2012	0	0	0
Reauthorization of the Voting Rights Act	http://scholarship.law.berkeley.edu/facpubs/1090	9/18/2012	0	1	0
"The Home Front: Notes from the Family War Zone - Justice, Equal Opportunity, and the Family"	http://scholarship.law.berkeley.edu/facpubs/713	9/18/2012	0	0	0
Some Thoughts about Natural Law	http://scholarship.law.berkeley.edu/facpubs/1475	9/20/2012	0	1	0
Police and Democracy	http://scholarship.law.berkeley.edu/facpubs/2161	8/15/2013	0	1	0
The End of Welfare and Constitutional Protections for the Poor: A Case Study of the Wisconsin Works Program and Due Process Rights	http://scholarship.law.berkeley.edu/bglj/vol13/iss1/11	9/24/2013	0	0	0
Foreword	http://scholarship.law.berkeley.edu/facpubs/1874	12/7/2012	0	0	0
"Professor Stefan Albrecht Riesenfeld, Tribute: Introduction"	http://scholarship.law.berkeley.edu/facpubs/1978	8/15/2013	0	0	0
Public Policy as Affecting Property Rights Accruing to a Party as a Result of Wrongful Acts	http://scholarship.law.berkeley.edu/californialawreview/vol1/iss5/1	7/24/2012	0	1	0
Richard W. Jennings	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss2/2	7/10/2012	0	1	0
"The California Corporate Securities Act--Its Legislative, Administrative and Financial Aspects"	http://scholarship.law.berkeley.edu/californialawreview/vol18/iss2/2	7/24/2012	0	0	0
Who Says Shari'a Demands the Stoning of Women - A Description of Islamic Law and Constitutionalism	http://scholarship.law.berkeley.edu/jmeil/vol1/iss1/4	12/9/2013	0	9	0
"The Durability, Relevance, and Future of American Antitrust Policy"	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss3/2	7/10/2012	0	4	0
Opening Remarks	http://scholarship.law.berkeley.edu/bjalp_symposia/2006/2006/10	12/7/2013	0	0	0
The Alternative Minimum Tax: Proving again That Two Wrongs Do Not Make a Right	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss6/1	7/17/2012	0	0	0
Islamic Finance in the Gulf: A Practitioner's Perspective	http://scholarship.law.berkeley.edu/jmeil/vol1/iss1/5	12/9/2013	0	15	1
The Proposed German Penal Code	http://scholarship.law.berkeley.edu/californialawreview/vol15/iss5/2	7/24/2012	0	0	0
Feminists in International Human Rights: The Changer and the Changed	http://scholarship.law.berkeley.edu/facpubs/461	9/18/2012	0	0	0
"Some Observations on Tie-ins, the Single-Product Defense, Exclusive Dealing and Regulated Industries"	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss6/3	7/17/2012	0	3	0
The Promise of School Choice for Improving the Education of Low-Income Minority Children	http://scholarship.law.berkeley.edu/facpubs/77	9/17/2012	0	0	0
Phil Gibson--A Remembrance	http://scholarship.law.berkeley.edu/californialawreview/vol72/iss4/4	7/10/2012	0	0	0
Riesenfeld Award Banquet	http://scholarship.law.berkeley.edu/riesenfeld/2013/2013/1	2/10/2013	0	0	0
Setting the Supreme Court's Agenda: Is There a Place for Certification	http://scholarship.law.berkeley.edu/facpubs/1534	9/20/2012	0	2	0
Professor Richard W. Jennings: A Tribute	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss2/1	7/10/2012	0	0	0
"L's of Cure, Ounces of Prevention"	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss3/13	7/10/2012	0	0	0
Corporate Lobbyists Abroad: The Extraterritorial Application of Neorr-Pennington Antitrust Immunity	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss5/4	7/17/2012	0	2	0
Injecting a Race Component into Mount Laurel-Style Litigation	http://scholarship.law.berkeley.edu/facpubs/636	9/18/2012	0	5	0
Mapping the Ballot Box Recap	http://scholarship.law.berkeley.edu/bjalp_gallery/43	12/3/2013	0	0	0
