Full-Text Downloads for 2012-02-01 through 2013-09-20 for Berkeley Law Scholarship Repository																						
Title	URL	First published	2/1/2012	3/1/2012	4/1/2012	5/1/2012	6/1/2012	7/1/2012	8/1/2012	9/1/2012	10/1/2012	11/1/2012	12/1/2012	1/1/2013	2/1/2013	3/1/2013	4/1/2013	5/1/2013	6/1/2013	7/1/2013	8/1/2013	9/1/2013
Automatic Extinction of Cross-Demands: Compensatio from Rome to California	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/15	7/18/2012	0	0	0	0	0	4	2	19	7	15	5	40	8	14	7	10	1	6	9	9
The Supreme Court of California 1975-1976 Foreword: The Accidental Decision and How It Happens	http://scholarship.law.berkeley.edu/facpubs/1317	9/18/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contractual Exculpation from Tort Liability in California--The True Rule Steps Forward	http://scholarship.law.berkeley.edu/californialawreview/vol52/iss2/5	7/17/2012	0	0	0	0	0	1	7	4	6	15	25	22	45	19	40	17	14	14	8	4
Failed Enterprise: The Supreme Court's Habeas Reform	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss2/1	7/10/2012	0	0	0	0	0	0	1	0	0	0	1	3	2	0	1	3	2	1	1	3
Syllabus: Asian Pacific Americans and the Law	http://scholarship.law.berkeley.edu/aalj/vol10/iss1/10	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
From Nuclear War to Net War: Analogizing Cyber Attacks in International Law	http://scholarship.law.berkeley.edu/bjil/vol27/iss1/7	9/24/2012	0	0	0	0	0	0	0	0	97	190	95	201	232	207	239	197	158	168	95	129
California Partnership Law and the Uniform Partnership Act	http://scholarship.law.berkeley.edu/californialawreview/vol9/iss4/3	7/24/2012	0	0	0	0	0	0	1	2	6	5	3	7	6	3	3	3	2	2	5	3
"Preface: Japan, the United States, and Pacific Ocean Resources"	http://scholarship.law.berkeley.edu/facpubs/232	9/17/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
In Defense of Footnotes	http://scholarship.law.berkeley.edu/facpubs/762	9/18/2012	0	0	0	0	0	0	0	0	3	22	4	12	6	10	5	8	7	3	2	2
Let's Get It Started What President-elect Obama Can Learn From Previous Administrations in Making Political Appointments	http://works.bepress.com/anne_oconnell/14	7/2/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
School Choice and Public Funding	http://works.bepress.com/stephen_sugarman/58	6/25/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THE LEGACY OF NIXON, REAGAN, AND HORTON: HOW THE TOUGH ON CRIME MOVEMENT ENABLED A NEW REGIME OF RACE- INFLUENCED EMPLOYMENT DISCRIMINATION"	http://scholarship.law.berkeley.edu/bjalp/vol15/iss1/2	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17	10	8	13	6
A Constitutional Law for the Age of Anxiety	http://scholarship.law.berkeley.edu/facpubs/1929	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Did a Switch in Time Save Nine	http://scholarship.law.berkeley.edu/facpubs/697	9/18/2012	0	0	0	0	0	0	0	0	4	4	9	16	9	1	1	4	2	0	0	1
Recent Foreign Cases	http://scholarship.law.berkeley.edu/californialawreview/vol16/iss1/3	7/24/2012	0	0	0	0	0	0	0	0	4	0	0	2	0	2	0	2	0	0	0	0
Thoughts on the Federalist Vision of Representative Democracy As Viewed at the End of the Twentieth Century: How Have We Used the Legacy of the Federalist Papers	http://scholarship.law.berkeley.edu/facpubs/236	9/17/2012	0	0	0	0	0	0	0	2	6	5	5	2	0	1	1	0	0	4	0	1
"New Dynamism in the Public Domain, A"	http://scholarship.law.berkeley.edu/facpubs/1419	9/20/2012	0	0	0	0	0	0	0	1	2	2	3	0	5	2	4	3	3	13	2	0
Respect and Resistance in Punishment Theory	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss2/8	7/9/2012	0	0	0	0	0	6	3	9	9	12	17	19	26	8	6	4	3	2	1	8
Practice and Procedure before the Railroad Commission of California	http://scholarship.law.berkeley.edu/californialawreview/vol15/iss6/1	7/24/2012	0	0	0	0	0	0	1	0	1	1	1	3	3	1	3	0	0	1	2	0
Rosamond Parma 1884-1946	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss1/5	7/20/2012	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0
The Mixed-Race Experience: Treatment of Racially Miscategorized Individuals under Title VII	http://scholarship.law.berkeley.edu/aalj/vol12/iss1/6	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Equal Protection of the Laws	http://scholarship.law.berkeley.edu/californialawreview/vol37/iss3/1	7/20/2012	0	0	0	0	0	1	22	14	26	22	36	47	37	68	80	67	45	39	62	47
"Science, Judgment, and Controversy in Natural Resource Regulation"	http://scholarship.law.berkeley.edu/facpubs/600	9/18/2012	0	0	0	0	0	0	0	0	12	3	14	13	8	8	2	2	3	0	1	6
Rosamond Parma	http://scholarship.law.berkeley.edu/californialawreview/vol26/iss1/7	7/24/2012	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
Is There a Text in This Class - The Conflict between Textualism and Antitrust	http://works.bepress.com/daniel_farber/123	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TITLE VII CHALLENGES TO EMPLOYMENT DISCRIMINATION AGAINST MINORITY MEN WITH CRIMINAL RECORDS	http://scholarship.law.berkeley.edu/bjalp/vol14/iss1/6	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	11	12	17	12
The Religion Clauses of the First Amendment: Reconciling the Conflict	http://scholarship.law.berkeley.edu/facpubs/971	9/18/2012	0	0	0	0	0	0	0	0	9	14	14	7	21	14	23	15	4	5	12	19
In Case of Emergency: Misunderstanding Tradeoffs in the War on Terror	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss2/1	7/9/2012	0	0	0	0	0	10	3	9	21	16	13	23	5	12	23	14	11	15	24	17
Booker Defined: Examining the Application of United States v. Booker in the Nation's Most Divergent Circuit Courts	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss4/3	7/9/2012	0	0	0	0	0	8	0	1	3	5	2	4	9	4	0	2	4	0	3	0
Kelo: A Case Rightly Decided	http://scholarship.law.berkeley.edu/facpubs/664	9/18/2012	0	0	0	0	0	0	0	1	4	2	2	3	5	6	4	1	1	4	1	4
Hearing the Call of Stories	http://works.bepress.com/kathryn_abrams/72	2/14/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
In Defense of the Black/White Binary: Reclaiming a Tradition of Civil Rights Scholarship	http://scholarship.law.berkeley.edu/bjalp/vol12/iss1/4	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	11	25	14	8
Cultural Colonization in the Hollywood Film: The Harlem Debates-Part 2	http://scholarship.law.berkeley.edu/aalj/vol5/iss1/4	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reflections on Caleb Foote on Vagrancy-Type Laws	http://scholarship.law.berkeley.edu/bjcl/vol12/iss2/3	2/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	4	2	2	2	0
The Antiparalleling Statute: A New Dimension in Public Utility Condemnation	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss4/2	7/17/2012	0	0	0	0	0	0	4	0	7	2	5	4	4	1	1	1	1	1	1	1
Divorce: Statutory Abolition of Marital Fault	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss1/7	7/20/2012	0	0	0	0	0	5	5	4	8	7	5	8	4	9	3	6	6	5	2	2
Moiwana Village v. Suriname: A Portal into Recent Jurisprudential Developments of the Inter-American Court of Human Rights	http://scholarship.law.berkeley.edu/bjil/vol25/iss2/6	9/24/2012	0	0	0	0	0	0	0	0	9	7	11	11	17	16	13	5	3	9	16	7
The New Bush National Security Doctrine and the Rule of Law	http://scholarship.law.berkeley.edu/bjil/vol22/iss3/3	9/24/2012	0	0	0	0	0	0	0	0	14	20	25	28	34	14	9	7	27	16	13	12
Owner-Architect-Contractor: Another Eternal Triangle	http://scholarship.law.berkeley.edu/californialawreview/vol47/iss4/2	7/19/2012	0	0	0	0	0	0	7	5	3	1	6	3	15	10	10	2	3	5	6	7
Dudley Odell McGovney	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss3/1	7/20/2012	0	0	0	0	0	1	1	2	4	6	5	1	2	5	1	1	0	0	2	1
Unconscionability in Standard Forms	http://scholarship.law.berkeley.edu/californialawreview/vol64/iss5/2	7/17/2012	0	0	0	0	0	0	20	14	15	19	25	16	27	4	8	6	3	7	12	2
In Mitigation of the Penalty of Death: Lockett v. Ohio and the Capital Defendant's Right to Consideration of Mitigating Circumstances	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss2/2	7/17/2012	0	0	0	0	0	0	6	7	4	13	25	16	15	19	24	18	10	5	9	12
"Nazis, Skokie, and the First Amendment as Virtue"	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss1/6	7/10/2012	0	0	0	0	0	5	3	10	19	31	23	27	49	29	17	16	6	2	7	7
The Promise of School Choice for Improving the Education of Low-Income Minority Children	http://scholarship.law.berkeley.edu/bjalp/vol6/iss2/6	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	5	4	2
Woodland Hills v. City Council of Los Angeles: Electoral Politics and Quasi-Judicial Fairness	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss4/9	7/17/2012	0	0	0	0	0	2	4	4	3	4	0	6	5	0	2	1	1	1	2	0
Sandelian Antiliberalism	http://scholarship.law.berkeley.edu/californialawreview/vol77/iss3/6	7/10/2012	0	0	0	0	0	0	2	7	3	3	2	3	3	1	0	2	1	2	1	0
Immunity of States for Noncommercial Torts: A Comparative Analysis of the International Law Commission's Draft	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss5/7	7/10/2012	0	0	0	0	0	2	3	2	4	21	19	22	12	3	0	7	2	2	3	1
Let's Call the Whole Thing Off: Can States Abolish the Institution of Marriage	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss3/2	7/9/2012	0	0	0	0	0	2	1	37	7	7	7	8	19	6	9	9	3	7	0	0
"Fair, Feasible and in the Public Interest"	http://scholarship.law.berkeley.edu/californialawreview/vol29/iss4/1	7/24/2012	0	0	0	0	0	0	0	0	0	1	1	3	1	20	4	2	5	1	0	2
The Unbearble Lightness of Identity	http://scholarship.law.berkeley.edu/bjalp/vol3/iss1/1	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1
Reassessing the Economic Efficiency of Compensatory Damages for Breach of Contract	http://works.bepress.com/daniel_farber/78	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farewell to All That	http://scholarship.law.berkeley.edu/facpubs/376	9/17/2012	0	0	0	0	0	0	0	0	2	1	3	7	2	1	0	1	0	0	0	0
Professor Stefan Albrecht Riesenfeld: A Tribute	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss4/1	7/10/2012	0	0	0	0	0	2	2	1	0	0	0	3	2	0	1	0	2	0	0	1
"Spiff, Polish, and Consumer Demand Quality: Vertical Price Restraints Revisited"	http://scholarship.law.berkeley.edu/californialawreview/vol80/iss4/2	7/10/2012	0	0	0	0	0	11	25	13	20	23	27	33	19	13	15	13	11	14	12	10
Return to Sender	http://scholarship.law.berkeley.edu/californialawreview/vol78/iss6/10	8/15/2012	0	0	0	0	0	0	3	6	4	2	1	1	1	2	4	5	2	3	1	0
Hyper-Presidentialism: Separation of Powers without Checks and Balances in Argentina and Philippines	http://scholarship.law.berkeley.edu/bjil/vol29/iss1/8	9/25/2012	0	0	0	0	0	0	0	0	65	28	59	48	33	44	53	64	34	56	36	25
Free Exercise on the Mountaintop	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss1/2	7/10/2012	0	0	0	0	0	1	4	1	7	14	6	9	4	5	5	7	2	2	1	2
Evaluating Telecommunications Surveillance in Germany: The Lessons of the Max Planck Institute's Study	http://scholarship.law.berkeley.edu/facpubs/1430	9/20/2012	0	0	0	0	0	0	0	0	1	9	7	11	6	5	7	6	2	40	6	0
"Tribute to Our Senior Colleagues, A"	http://works.bepress.com/richard_buxbaum/6	9/24/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An Intentionalist Approach to Reproductive Technology and the Feminist Critique of Liberty	http://works.bepress.com/marjorie_shultz/96	7/9/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moral Responsibility to Filipino Amerasians: Potential Immigration and Child Support Alternatives	http://scholarship.law.berkeley.edu/aalj/vol2/iss1/4	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
War By Other Means: An Insider's Account of the War on Terrorism	http://works.bepress.com/johnyoo/23	4/4/2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fair Use and Statutory Reform in the Wake of Eldred	http://scholarship.law.berkeley.edu/californialawreview/vol92/iss6/3	7/9/2012	0	0	0	0	0	3	5	5	13	13	21	30	42	38	5	22	20	21	5	9
The Cross-Section Requirement and Jury Impartiality	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss5/4	7/10/2012	0	0	0	0	0	1	4	12	10	15	9	23	4	12	5	14	36	8	6	7
Space Traders for the Twenty-First Century	http://scholarship.law.berkeley.edu/bjalp/vol11/iss1/6	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	14	15	7
The Use of Comparative Impairment to Resolve True Conflicts: An Evaluation of the California Experience	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss4/1	7/17/2012	0	0	0	0	0	0	4	7	14	14	11	11	12	7	11	14	22	11	8	16
"""A(nother) Critique of Pure Reason"": Toward Civic Virtue in Legal Education"	http://works.bepress.com/marjorie_shultz/3	2/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Nature of the Compulsive Effect of State Law in Federal Tax Proceedings	http://scholarship.law.berkeley.edu/californialawreview/vol41/iss4/3	7/19/2012	0	0	0	0	0	3	4	1	3	3	5	7	8	4	9	4	6	6	5	8
"U.S. and Them: Hubs, Spokes, & Integration with Reference to Transboundary Environment and Resource Issues"	http://scholarship.law.berkeley.edu/bjil/vol21/iss3/6	9/24/2012	0	0	0	0	0	0	0	1	10	10	9	9	7	0	8	4	2	1	2	1
"Constitutional Rights & Liberties: Cases & Materials, West Publishing Co., 1st ed. 1964; 2d ed. 1967; 3d ed. 1970; 4th ed. 1975; 5th ed. 1980; 6th ed. 1986; 7th ed. 1991; 8th ed. 1996 (co-author); 9th ed. 2001 (co-author)"	http://works.bepress.com/jesse_choper/78	8/21/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Laws as Treaties: The Constitutionality of Congressional-Executive Agreements	http://scholarship.law.berkeley.edu/facpubs/1765	9/20/2012	0	0	0	0	0	0	0	1	17	16	20	21	17	34	32	38	22	24	10	11
Spoilers	http://scholarship.law.berkeley.edu/californialawreview/vol4/iss2/1	7/24/2012	0	0	0	0	0	0	0	1	5	11	5	7	8	13	5	13	18	34	35	5
Public Policy as Affecting Property Rights Accruing to a Party as a Result of Wrongful Acts	http://scholarship.law.berkeley.edu/californialawreview/vol1/iss6/3	7/24/2012	0	0	0	0	0	0	1	5	9	5	4	8	2	1	1	1	2	0	1	1
Introductory Note to U.N. Security Council Resolution 1975 on the Cote d'Ivoire	http://scholarship.law.berkeley.edu/facpubs/2129	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Loans to Clients for Living Expenses	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss5/6	7/17/2012	0	0	0	0	0	0	5	7	9	13	12	30	9	14	9	16	23	15	17	5
Recent Developments in United States Insider Trading Prohibition and Swiss Secrecy Laws: Towards a Definitive Reconciliation	http://scholarship.law.berkeley.edu/bjil/vol5/iss1/1	9/24/2012	0	0	0	0	0	0	0	0	5	10	9	10	18	5	7	5	1	0	1	1
Why Courts Cannot Deny ADA Protection to Plaintiffs Who Do Not Use Available Mitigating Measures for Their Impairments	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss6/4	7/10/2012	0	0	0	0	0	8	7	4	6	11	5	6	15	6	2	2	4	5	0	3
"Statements of Fact, Statements of Opinion, and the First Amendment"	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss3/13	7/10/2012	0	0	0	0	0	4	10	13	16	36	55	102	53	6	9	14	11	12	7	8
The Constitution of Women	http://scholarship.law.berkeley.edu/facpubs/1069	9/18/2012	0	0	0	0	0	0	0	1	1	6	4	3	3	5	1	1	1	0	2	0
The Cost of Coase	http://scholarship.law.berkeley.edu/facpubs/84	9/17/2012	0	0	0	0	0	0	0	0	26	23	14	13	13	11	18	16	7	9	13	11
The Nature and Necessity of Law and Science	http://scholarship.law.berkeley.edu/facpubs/894	9/18/2012	0	0	0	0	0	0	0	1	13	7	2	18	2	0	0	2	1	0	0	1
The War of Terror and the Rule of Law	http://scholarship.law.berkeley.edu/aalj/vol15/iss1/9	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conflict of Laws: Foreign Law as Datum	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/6	7/18/2012	0	0	0	0	0	2	0	4	1	2	3	1	8	1	0	2	1	4	0	0
Undisclosed Principal's Rights and Liabilities: A Test of Election of Remedies	http://scholarship.law.berkeley.edu/californialawreview/vol39/iss3/7	7/20/2012	0	0	0	0	0	1	13	17	44	43	39	62	62	55	70	68	48	102	63	45
Global Migration: The Impact of Newcomers on Japanese Immigration and Labor Systems	http://scholarship.law.berkeley.edu/bjil/vol19/iss2/2	9/24/2012	0	0	0	0	0	0	0	0	24	18	26	51	76	29	38	64	51	37	25	19
Righting the Law: Seeking a Humane Voice	http://scholarship.law.berkeley.edu/facpubs/1745	9/20/2012	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	2
Feminism in relation	http://scholarship.law.berkeley.edu/facpubs/283	9/17/2012	0	0	0	0	0	0	0	1	4	3	3	2	6	2	8	7	0	1	2	0
"Student's Tribute to Fritz Kessler, A"	http://scholarship.law.berkeley.edu/facpubs/24	9/17/2012	0	0	0	0	0	0	0	0	1	0	0	3	4	2	2	0	0	0	4	1
Mobilizing Law Schools in Response to Poverty: A Report on Experiments in Progress	http://scholarship.law.berkeley.edu/facpubs/1877	12/7/2012	0	0	0	0	0	0	0	0	0	0	4	9	2	1	4	1	1	1	1	0
"Popular Constitutionalism, Circa 2004"	http://scholarship.law.berkeley.edu/californialawreview/vol92/iss4/1	7/9/2012	0	0	0	0	0	3	4	9	4	6	3	8	15	17	7	8	1	10	73	38
California Stay Law--Supersedeas and Statutory	http://scholarship.law.berkeley.edu/californialawreview/vol40/iss2/6	7/20/2012	0	0	0	0	0	2	4	7	9	10	16	18	17	15	14	15	8	26	28	20
2008 California Criminal Law Ballot Initiatives	http://scholarship.law.berkeley.edu/bjcl/vol14/iss1/6	2/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Are Human Rights Universal	http://scholarship.law.berkeley.edu/facpubs/222	9/17/2012	0	0	0	0	0	0	0	0	3	8	7	10	3	4	3	4	2	3	4	0
Realistic Opportunity for Release Equals Rehabilitation: How the States Must Provide Meaningful Opportunity for Release	http://scholarship.law.berkeley.edu/bjcl/vol16/iss1/1	2/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	3	4	10	5	9	5	5	7
The Proliferation Security Initiative: A Model for International Cooperation	http://scholarship.law.berkeley.edu/facpubs/838	9/18/2012	0	0	0	0	0	0	0	1	2	0	1	1	0	2	5	4	1	0	0	1
Administrative Law: Retroactive Revision of Invalid Regulations	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss1/6	7/20/2012	0	0	0	0	0	5	5	3	9	2	5	10	2	8	9	3	2	6	1	4
Boys Keep out: Historical and Legal Perspectives on the Contributions of All-Female Organizations to Sex Equality	http://scholarship.law.berkeley.edu/facpubs/1826	12/7/2012	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	2	2	2	72	38
The Dangerous Extraterritoriality of American Securities Law	http://scholarship.law.berkeley.edu/facpubs/278	9/17/2012	0	0	0	0	0	0	0	2	15	8	7	10	12	5	2	1	1	0	0	0
Does the Evidence Favor State Competition in Corporate Law	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss6/1	7/10/2012	0	0	0	0	0	5	1	6	7	3	0	2	2	2	0	1	2	0	2	0
A Preferable Approach for the Ninth Circuit	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss5/7	7/10/2012	0	0	0	0	0	4	1	0	1	2	3	7	7	4	0	1	1	1	1	3
"The Supreme Court and the Credentials Challenge Cases: Ask a Political Question, You Get a Political Answer"	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss4/8	7/17/2012	0	0	0	0	0	0	1	2	2	3	5	28	7	0	2	0	1	1	0	1
Toward Optimal Land Use: Property Tax Policy and Land Use Planning	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss3/9	7/17/2012	0	0	0	0	0	2	7	7	11	16	15	25	12	25	16	23	15	17	10	8
On Reading and Using the Tenth Amendment	http://scholarship.law.berkeley.edu/facpubs/1714	9/20/2012	0	0	0	0	0	0	0	0	16	8	15	17	20	4	2	5	0	0	1	2
We Want an Education in a Safe School: Students Demand Institutional Accountability for Anti-Asian Violence at South Philadelphia High School	http://scholarship.law.berkeley.edu/aalj/vol17/iss1/7	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Penal Policy and Penal Legislation in Recent American Experience	http://scholarship.law.berkeley.edu/facpubs/1244	9/18/2012	0	0	0	0	0	0	0	0	2	15	3	20	17	14	7	7	2	2	0	5
A Century of Change in Personal Injury Law	http://scholarship.law.berkeley.edu/facpubs/2164	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intimate Violence: A Study of Intersexual Homicide in Chicago	http://scholarship.law.berkeley.edu/facpubs/1137	9/18/2012	0	0	0	0	0	0	0	0	13	12	26	19	8	7	6	2	6	3	2	2
"Comparative Law without Leaving Home: What Civil Procedure Can Teach Criminal Procedure, and Vice Versa"	http://scholarship.law.berkeley.edu/facpubs/1718	9/20/2012	0	0	0	0	0	0	0	0	19	16	17	29	18	10	6	6	2	4	5	2
The Regulation of Foreign Banks in Canada: Milelli Marks a Decade of Ambiguity	http://scholarship.law.berkeley.edu/facpubs/255	9/17/2012	0	0	0	0	0	0	0	1	5	3	1	2	8	2	1	0	0	1	4	0
Arbitrator Liability: Reconciling Arbitration and Mandatory Rules	http://scholarship.law.berkeley.edu/facpubs/1086	9/18/2012	0	0	0	0	0	0	0	0	4	19	5	16	11	4	1	0	0	0	0	0
"Protecting Open Innovation: The Defensive Patent License as a New Approach to Patent Threats, Transaction Costs, and Tactical Disarmament"	http://scholarship.law.berkeley.edu/facpubs/2149	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
The One and the Many	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss2/3	7/10/2012	0	0	0	0	0	3	1	0	2	3	2	3	4	28	18	9	7	6	8	5
The Idea of a Communitarian Morality	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss1/19	7/10/2012	0	0	0	0	0	1	0	7	10	6	3	6	10	15	3	3	1	7	3	4
Taking Slippage Seriously: Noncompliance and Creative Compliance in Environmental Law	http://scholarship.law.berkeley.edu/facpubs/513	9/18/2012	0	0	0	0	0	0	0	0	19	22	17	26	23	23	15	25	13	12	15	20
Adjudication of Things Past: Reflections on History as Evidence	http://works.bepress.com/daniel_farber/92	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Admissibility in California of Declarations of Physical or Mental Condition	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss3/1	7/24/2012	0	0	0	0	0	0	1	1	12	4	7	7	8	15	8	10	5	10	1	4
Information as Property: Do Ruckelshaus and Carpenter Signal a Changing Direction in Intellectual Property Law	http://scholarship.law.berkeley.edu/facpubs/890	9/18/2012	0	0	0	0	0	0	0	0	8	7	7	27	13	14	23	19	12	12	7	2
The Relationship between the Alien Tort Statute and the Torture Victim Protection Act	http://scholarship.law.berkeley.edu/bjil/vol28/iss2/14	9/24/2012	0	0	0	0	0	0	0	1	13	11	40	16	20	30	116	133	55	49	34	83
Accord in Maritime Obligation	http://scholarship.law.berkeley.edu/californialawreview/vol10/iss4/3	7/24/2012	0	0	0	0	0	1	6	6	6	7	4	7	11	14	15	18	12	14	9	8
International Human Rights and the Role of the United States	http://scholarship.law.berkeley.edu/facpubs/23	9/17/2012	0	0	0	0	0	0	0	0	14	13	13	22	26	6	6	12	6	5	29	5
Anesthetizing the Public Conscience: Lethal Injection and Animal Euthanasia	http://works.bepress.com/ty_alper/4	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exchange Control Regulations within the Meaning of the Bretton Woods Agrement: A Comparison of Judicial Interpretation in the United States and Europe	http://scholarship.law.berkeley.edu/bjil/vol8/iss1/4	9/24/2012	0	0	0	0	0	0	0	0	32	39	30	64	43	34	16	20	23	17	11	4
Taking Account of ARTs in Determining Parenthood: A Troubling Dispute in California	http://works.bepress.com/marjorie_shultz/7	2/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
On a New Theory of Justice	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss1/5	7/10/2012	0	0	0	0	0	4	2	9	5	5	8	4	9	3	5	12	2	10	16	14
Complex Claimants and Reductive Moral Judgments: New Patterns in the Search for Equality	http://scholarship.law.berkeley.edu/facpubs/1233	9/18/2012	0	0	0	0	0	0	0	0	2	2	4	6	3	2	2	2	0	0	0	2
War and International Adjudication: Reflections on the 1899 Peace Conference	http://scholarship.law.berkeley.edu/facpubs/1715	9/20/2012	0	0	0	0	0	0	0	1	17	20	10	16	11	9	4	11	10	3	3	4
Better to Burn Out than to Fade Away--Tax Consequences on the Disposition of a Tax Shelter	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss1/3	7/10/2012	0	0	0	0	0	3	3	2	1	6	4	4	10	3	1	1	2	4	2	3
The Uniform Child Custody Jurisdiction Act and the Continuing Importance of Ferreira v. Ferreira	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss2/2	7/17/2012	0	0	0	0	0	1	3	6	7	4	9	41	10	2	0	0	3	0	1	1
Rocket Dockets: Reducing Delay in Federal Civil Litigation	http://scholarship.law.berkeley.edu/californialawreview/vol85/iss1/4	7/10/2012	0	0	0	0	0	16	12	10	22	11	21	46	38	9	2	12	2	5	3	2
Bulk Sales Problems in California	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss4/2	7/19/2012	0	0	0	0	0	3	16	15	18	27	23	35	24	21	11	20	15	44	43	21
Intellectual Property and the Law of Land	http://scholarship.law.berkeley.edu/facpubs/729	9/18/2012	0	0	0	0	0	0	0	0	1	4	2	3	1	1	0	3	0	0	0	0
Suing the Tobacco Companies in U.S. and Japan	http://works.bepress.com/stephen_sugarman/121	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
